Node_Nos.,X_Co-ordinate,Y_Co-ordinate,Z_Co-ordinate,DL_Influence_Area_Name,DL_Influence_Surface_Area_sqmt,DL_Surface_U_Value_mt,DL_Surface_v_Value_mt,DL_Red,DL_Green,DL_Blue,DL_%Factor_Per_Floor_Area,DL_Masking,Sunhour/Solar Radiation_Influence_Area_Name,Facad_Bldg_Envelop_Area_sqmt,Facad_Bldg_Envelop_U_Surface_mt,Facad_Bldg_Envelop__V_Surface_mt,Sunhour_Red,Sunhour_Green,Sunhour_Blue,Sunhour_Per_Sqmt_Facad,Solar_Radiatiion_Red,Solar_Radiatiion_Green,Solar_Radiatiion_Blue,Solar_Radiatiion_Per_Sqmt_Facad
95,254.950456,211.091495,2.5,Window,5.4,1.8,3,0,0,0,0,1,Facad/Bldg_Ext_Envelope,14.999962,3,5,1,0.164706,0,2043.066667,0.917647,0.160784,0,853.902026
96,257.071777,213.212816,5,Floor_Surface,18,3,6,238,136,15,74,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
97,254.950456,213.212816,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
98,256.895,219.4,5,Floor_Surface,96,24,14.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
99,246.465175,223.819417,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,248.409719,227.885281,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
101,245.934845,225.410408,2.5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,7.500008,1.5,5,0.27451,0,0.721569,649.2,0.960784,0.917647,0.380392,279.381889
102,246.995505,224.349747,5,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,263.082184,214.980583,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,246.995505,224.349747,0,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105,256.187893,222.935534,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,260.960864,217.101903,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
107,259.900204,220.283883,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108,265.380281,210.914719,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,260.430534,218.692893,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110,257.778883,222.405204,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111,248.056165,223.289087,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
112,246.465175,221.698097,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
113,245.404515,222.758757,5,Floor_Surface,9,3,3,234,102,1,82,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,244.343855,221.698097,2.5,Window,5.4,1.8,3,0,0,0,0,1,Facad/Bldg_Ext_Envelope,15.000016,3,5,0.901961,0.019608,0.098039,1614.533333,0.596078,0.713725,0.894118,616.844718
115,249.116825,224.349747,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,254.420126,216.925126,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,252.829136,217.455456,2.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
118,246.465175,219.576777,7.5,Window,5.4,1.8,3,0,0,0,0,1,Facad/Bldg_Ext_Envelope,15.000016,3,5,1,0.345098,0,2355.4,0.976471,0.862745,0.27451,856.765451
119,249.647155,220.637437,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
120,250.707816,223.819417,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
121,253.359466,217.985786,5,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
122,244.343855,223.819417,2.5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,15.000016,3,5,0.184314,0,0.815686,327.133333,0.454902,0.580392,0.796078,254.754234
123,248.586495,221.698097,10,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,18.000039,3,6,1,0.992157,0,3652.111111,0.933333,0.588235,0.070588,1180.102184
124,253.359466,217.985786,0,Floor_Surface,4.5,3,1.5,75,107,169,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
